Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
isPrime 1,57,540,5,601,87.21,0.00%,.9,0.17,179.0
isPrime 2,57,530,2,601,87.51,0.00%,.9,0.15,164.0
isPrime 3,57,536,49,690,86.89,0.00%,.9,0.15,164.0
isPrime 4,57,521,31,692,83.89,0.00%,.9,0.16,168.0
isPrime 6,57,526,21,600,80.20,0.00%,.9,0.16,168.0
isPrime 7,57,532,9,600,82.86,0.00%,.9,0.15,164.0
isPrime 8,57,529,3,603,83.46,0.00%,.9,0.16,168.0
isPrime 5,57,524,24,598,81.37,0.00%,.9,0.15,164.0
isPrime 10,57,534,96,598,74.47,0.00%,.9,0.16,169.0
isPrime 9,57,532,100,602,75.51,0.00%,.9,0.16,168.0
isPrime 11,57,528,97,602,77.37,0.00%,.9,0.15,165.0
isPrime 14,57,533,81,687,81.38,0.00%,.9,0.16,169.0
isPrime 15,57,533,62,605,79.78,0.00%,.9,0.16,169.0
isPrime 12,57,526,95,605,75.39,0.00%,.9,0.16,169.0
isPrime 13,57,527,92,691,76.12,0.00%,.9,0.15,165.0
isPrime 16,57,538,42,607,80.36,0.00%,.9,0.16,169.0
isPrime 18,57,526,95,603,72.51,0.00%,.9,0.16,169.0
isPrime 17,57,532,114,599,71.76,0.00%,.9,0.15,165.0
isPrime 19,57,525,92,603,72.74,0.00%,.9,0.15,165.0
isPrime 20,57,527,89,696,79.45,0.00%,.9,0.16,169.0
isPrime 21,57,522,90,598,78.05,0.00%,.9,0.16,169.0
isPrime 23,57,521,91,599,76.03,0.00%,.9,0.15,165.0
isPrime 22,57,523,93,600,75.91,0.00%,.9,0.16,169.0
isPrime 24,57,522,97,600,72.48,0.00%,.9,0.16,169.0
isPrime 26,57,527,183,687,66.17,0.00%,.9,0.16,169.0
isPrime 28,57,524,149,687,73.18,0.00%,.9,0.16,169.0
isPrime 27,57,528,171,686,70.16,0.00%,.9,0.16,169.0
isPrime 25,57,528,185,694,68.27,0.00%,.9,0.16,169.0
isPrime 29,57,523,130,598,67.81,0.00%,.9,0.15,165.0
isPrime 30,57,522,112,597,71.69,0.00%,.9,0.16,169.0
isPrime 31,57,516,104,597,78.25,0.00%,.9,0.15,165.0
isPrime 32,57,521,104,689,74.34,0.00%,.9,0.16,169.0
isPrime 33,57,519,104,597,71.38,0.00%,.9,0.16,169.0
isPrime 34,57,518,99,602,71.84,0.00%,.9,0.16,169.0
isPrime 35,57,518,189,596,66.37,0.00%,.9,0.16,169.0
isPrime 36,57,523,191,596,64.02,0.00%,.9,0.16,169.0
isPrime 38,57,516,189,602,68.83,0.00%,.9,0.16,169.0
isPrime 37,57,522,192,597,61.14,0.00%,.9,0.15,165.0
isPrime 39,57,510,189,598,63.58,0.00%,.9,0.16,169.0
isPrime 40,57,509,168,598,62.98,0.00%,.9,0.16,169.0
isPrime 42,57,508,128,600,68.32,0.00%,.9,0.16,169.0
isPrime 43,57,509,114,683,70.16,0.00%,.9,0.15,165.0
isPrime 41,57,508,157,688,69.53,0.00%,.9,0.15,165.0
isPrime 44,56,504,119,597,64.91,0.00%,.9,0.16,169.0
isPrime 46,56,514,195,599,57.68,0.00%,.9,0.16,169.0
isPrime 45,56,513,199,598,62.00,0.00%,.9,0.16,169.0
isPrime 49,56,505,191,594,51.75,0.00%,.9,0.16,169.0
isPrime 47,56,520,195,598,65.19,0.00%,.9,0.15,165.0
isPrime 48,56,522,191,594,60.97,0.00%,.9,0.16,169.0
isPrime 50,56,500,191,595,56.46,0.00%,.9,0.16,169.0
isPrime 52,56,506,192,595,56.15,0.00%,.9,0.16,169.0
isPrime 53,56,509,187,595,60.68,0.00%,.9,0.15,165.0
isPrime 51,56,506,195,597,55.81,0.00%,.9,0.16,169.0
isPrime 54,56,510,179,594,62.14,0.00%,.9,0.16,169.0
isPrime 55,56,512,161,593,64.64,0.00%,.9,0.16,169.0
isPrime 56,56,518,140,594,67.10,0.00%,.9,0.16,169.0
isPrime 58,56,503,199,593,55.10,0.00%,.9,0.16,169.0
isPrime 57,56,509,209,592,51.67,0.00%,.9,0.16,169.0
isPrime 59,56,507,197,599,60.57,0.00%,.9,0.15,165.0
isPrime 60,56,508,196,597,61.38,0.00%,.9,0.16,169.0
isPrime 62,56,508,194,595,56.78,0.00%,.9,0.16,169.0
isPrime 61,56,511,196,595,63.41,0.00%,.9,0.15,165.0
isPrime 64,56,513,193,598,60.12,0.00%,.9,0.16,169.0
isPrime 65,56,511,283,595,52.50,0.00%,.9,0.16,169.0
isPrime 63,56,509,289,595,51.09,0.00%,.9,0.16,169.0
isPrime 66,56,509,283,597,52.10,0.00%,.9,0.16,169.0
isPrime 67,56,506,281,691,55.92,0.00%,.9,0.15,165.0
isPrime 68,56,511,282,601,53.34,0.00%,.9,0.16,169.0
isPrime 69,56,518,270,597,55.30,0.00%,.9,0.16,169.0
isPrime 70,56,514,249,595,51.67,0.00%,.9,0.16,169.0
isPrime 71,56,522,233,596,59.49,0.00%,.9,0.15,165.0
isPrime 73,56,519,215,598,60.94,0.00%,.9,0.15,165.0
isPrime 72,56,520,301,598,52.96,0.00%,.9,0.16,169.0
isPrime 74,56,518,298,598,52.92,0.00%,.9,0.16,169.0
isPrime 76,56,513,296,598,49.58,0.00%,.9,0.16,169.0
isPrime 79,56,512,300,597,49.36,0.00%,.9,0.15,165.0
isPrime 75,56,521,303,599,61.55,0.00%,.9,0.16,169.0
isPrime 77,56,523,302,600,60.35,0.00%,.9,0.16,169.0
isPrime 78,56,516,301,597,56.35,0.00%,.9,0.16,169.0
isPrime 80,56,526,389,599,49.43,0.00%,.9,0.16,169.0
isPrime 81,56,527,389,598,49.62,0.00%,.9,0.16,169.0
isPrime 82,56,529,389,598,50.11,0.00%,.9,0.16,169.0
isPrime 84,56,523,387,598,52.23,0.00%,.9,0.16,169.0
isPrime 83,56,518,389,598,53.76,0.00%,.9,0.15,165.0
isPrime 85,56,524,384,605,46.49,0.00%,.9,0.16,169.0
isPrime 86,56,528,364,603,52.46,0.00%,.9,0.16,169.0
isPrime 88,56,524,322,687,58.02,0.00%,.9,0.16,169.0
isPrime 89,56,543,398,687,52.47,0.00%,.9,0.15,165.0
isPrime 90,56,538,396,601,48.94,0.00%,.9,0.16,169.0
isPrime 87,56,527,405,598,50.64,0.00%,.9,0.16,169.0
isPrime 91,56,535,397,689,54.16,0.00%,.9,0.16,169.0
isPrime 92,56,531,396,600,46.81,0.00%,.9,0.16,169.0
isPrime 93,56,542,397,685,58.06,0.00%,.9,0.16,169.0
isPrime 95,56,533,396,601,50.59,0.00%,.9,0.16,169.0
isPrime 97,56,527,381,686,53.15,0.00%,.9,0.15,165.0
isPrime 96,56,529,399,689,57.57,0.00%,.9,0.16,169.0
isPrime 94,56,541,405,600,48.47,0.00%,.9,0.16,169.0
isPrime 98,56,531,412,603,48.11,0.00%,.9,0.16,169.0
isPrime 100,56,538,412,602,48.77,0.00%,.9,0.16,170.0
isPrime 99,56,539,410,684,53.56,0.00%,.9,0.16,169.0
primesStored,55,516,489,598,35.86,0.00%,.9,0.37,400.0
TOTAL,5698,521,2,696,65.16,0.00%,94.2,15.66,170.3
